Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-994,(Đang update),(Đang update),Mã lỗi TPE -994 khi thanh toán bằng nguồn tiền TKTS,"Tình huống 1:

Đối tác hoặc hệ thống Paylater gặp gián đoạn, áp dụng tất cả đối tác của Paylater (CIMB, LFVN,..)","HXL:
CS kiểm tra theo các lý do sau:

Lý do 1:  Kiểm tra lại hạn mức, xem có còn đủ không (vì có thể thanh toán đúng vào thời điểm CIMB thu phí 20k (vào ngày 27, 28), hoặc 30k,60k,90k (vào ngày 4, 5)
Lý do 2: CS kiểm tra TKTS có bị khóa bởi đối tác (LOCKED - PARTNER)
   .Nếu có: HD KH liên hệ CIMB/LFVN
   . Nếu không: Check tiếp các lý do bên dưới
Lý do 3: KH đang có nợ quá hạn hoặc lịch sử thanh toán dư nợ của KH có bị trễ hạn 
  .Nếu có: HD KH thanh toán để tiếp tục sử dụng hoặc liên hệ LFVN/CIMB mở khóa do thanh toán trễ hạn.
  .Nếu không: Check tiếp các lý do bên dưới
Lý do 4: Nếu không thuộc các Lý do trên thì có thể do hệ thống không ổn định, hoặc do nghi ngờ có giao dịch bất thường nên đối tác có thể để giao dịch thất bại. Vì vậy, nhờ KH liên hệ đối tác để kiểm tra nguyên nhân và thử lại sau, nếu giao dịch bị trừ hạn mức sẽ được hoàn lại sau T+1 (nếu bị trừ vào T2 → T5, thì ngày tiếp theo sẽ được hoàn. Nếu bị trừ T6 → CN, thì T2 sẽ được hoàn), sau thời gian này nếu KH vẫn chưa được hoàn hạn mức > CS ghi nhận chuyển SL kiểm tra.

***Nếu KH thanh toán liên tục bị lỗi nhưng không phải thuộc các trường hợp nói trên (Nhu cầu liên hệ của KH là muốn được hỗ trợ thanh toán bằng TKTS), CS hướng dẫn KH liên hệ CIMB/LFVN nhờ kiểm tra nguyên nhân vì sao không thanh toán được và hỗ trợ khắc phục (CS không nói KH nhờ đối tác kiểm tra xem TKTS có bị khóa không mà chỉ nói nhờ KH liên hệ đối tác kiểm tra tài khoản và hỗ trợ KH thanh toán > Vì nếu nói TKTS bị khóa thì đối tác sẽ HD KH liên hệ lại Zalopay).

***Nếu KH có 2 TKTS CIMB và LFVN:
Rep lần 1: CS xác nhận thêm với KH về nguồn tiền TKTS đang sử dụng là của đối tác nào để hướng dẫn KH liên hệ đúng đối tác
Rep lần 2: Trường hợp khách hàng không rõ đối tác nào, CS chuyển PO kiểm tra đối tác chính xác và hướng dẫn KH liên hệ để được hỗ trợ",
-994,,,Mã lỗi TPE -994 khi thanh toán bằng nguồn tiền TKTS,"Tình huống 2:

KH thực hiện các giao dịch thanh toán Autodebit (TikTok, Lazada, v..v...) bằng nguồn tiền TKTS của CIMB bị thất bại hệ thống báo lỗi -994.

Nguyên nhân: Do KH thanh toán bằng TKTS CIMB vượt hạn mức 5 Triệu/ngày nên hệ thống sẽ yêu cầu thực hiện xác thực OTP/FaceID, nhưng giao dịch Autodebit không hỗ trợ Nhập OTP/FaceID, nên dẫn đến giao dịch thất bại.","HXL: CS kiểm tra tk Trả sau của KH có đang vướn các lý do 1, 2, 3 của tình huống 1 hay không, nếu có xử lý như tình huống 1, nếu không xử lý theo thông tin bên dưới:

- Với các giao dịch Autodebit, KH không thể thanh toán được (do không hỗ trợ xác thực). CS hướng dẫn KH thanh toán bằng nguồn tiền khác hoặc thực hiện lại giao dịch vào ngày hôm sau.

- Với các giao dịch (khác autodebit) trên app ZLP, CS hướng dẫn KH thực hiện lại giao dịch và xác thực theo yêu cầu của hệ thống.",
-374,"Bạn sẽ được hoàn tiền trong vòng 3 ngày làm việc. + {{stepresult message}}

(*) stepresult message: Thường là message lỗi của mã lỗi BC",Bạn sẽ được hoàn tiền trong vòng 3 ngày làm việc. + {{stepresult message}},"Ảnh hưởng update UX/UI và flow hệ thống do chuyển sang luồng thanh toán full flow (Full-flow Cash-out to Bank PRD)

""Giao dịch thất bại, đang chờ hệ thống hoàn tiền""",Giao dịch lỗi hệ thống,"CS thông báo khách hàng giao dịch thất bại sẽ được hoàn tiền về nguồn tiền đã sử dụng trong vòng 3 ngày làm việc kể từ khi thực hiện giao dịch.

Trường hợp sau 3 ngày GD chưa được hoàn tiền, CS ghi nhận chuyển case cho SL hỗ trợ kiểm tra thêm với BPLQ",
-375,"Bạn đã được hoàn tiền. + {{stepresult message}}

(*) stepresult message: Thường là message lỗi của mã lỗi BC","Bạn đã được hoàn tiền. + {{stepresult message}}
","Ảnh hưởng update UX/UI và flow hệ thống do chuyển sang luồng thanh toán full flow (Full-flow Cash-out to Bank PRD)

""Giao dịch thất bại đã được hoàn tiền trên hệ thống""",Giao dịch lỗi hệ thống,"Giao địch đã được hoàn tiền, CS kiểm tra trạng thái hoàn tiền trên tool, tình trạng nhận tiền hoàn của khách hàng và thông báo KH kiểm tra lại nguồn tiền đã sử dụng.

Trường hợp khách hàng chưa được hoàn tiền, CS ghi nhận chuyển case cho SL hỗ trợ kiểm tra thêm với BPLQ.",
-376,"Bạn sẽ được hoàn tiền trong vòng 3 ngày làm việc. + {{stepresult message}}

(*) stepresult message: Thường là message lỗi của mã lỗi BC",Bạn sẽ được hoàn tiền trong vòng 3 ngày làm việc. + {{stepresult message}},"Ảnh hưởng update UX/UI và flow hệ thống do chuyển sang luồng thanh toán full flow (Full-flow Cash-out to Bank PRD)

""Giao dịch thất bại, đang chờ hệ thống hoàn tiền""",Giao dịch lỗi hệ thống,"CS thông báo khách hàng giao dịch thất bại sẽ được hoàn tiền về nguồn tiền đã sử dụng trong vòng 3 ngày làm việc kể từ khi thực hiện giao dịch.

Trường hợp sau 3 ngày GD chưa được hoàn tiền, CS ghi nhận chuyển case cho SL hỗ trợ kiểm tra thêm với BPLQ",
-383,"Giao dịch của bạn đã được trừ tiền. Zalopay sẽ đối soát và hoàn tất xử lý trong vòng 3 ngày làm việc. Nếu xử lý thất bại, tiền sẽ được tự động hoàn trả.
","Giao dịch của bạn đã được trừ tiền. Zalopay sẽ đối soát và hoàn tất xử lý trong vòng 3 ngày làm việc. Nếu xử lý thất bại, tiền sẽ được tự động hoàn trả.","Ảnh hưởng update UX/UI và flow hệ thống do chuyển sang luồng thanh toán full flow (Full-flow Cash-out to Bank PRD)

""Giao dịch đang xử lý, Zalopay sẽ đối soát và cập nhật kết quả giao dịch trong vòng 3 ngày làm việc:
- Nếu giao dịch thành công, khách hàng sẽ được cung cấp dịch vụ.
- Nếu giao dịch thất bại, khách hàng sẽ được hoàn tiền.""",Giao dịch lỗi hệ thống,"Nếu giao dịch bị trừ tiền, CS tư vấn KH chờ đối soát tự động. Nếu GD thất bại sẽ được hoàn tiền trong vòng 3 ngày làm việc kể từ thời gian thực hiện giao dịch.

Trường hợp sau 3 ngày GD chưa được hoàn tiền, CS ghi nhận chuyển case cho SL hỗ trợ kiểm tra thêm với BPLQ",
-343,VALIDATE_NEW_FUND_FLOW_FAIL ,,,"Do KH có sử dụng khuyến mãi khi thanh toán giao dịch này.
Theo thể lệ của KM, sẽ không được áp dụng KM cho mốt số AppID đặc biệt (vd: nạp vào tài khoản tài chính: TKTK, SDSL, Nạp tiền vào TKZP, Rút tiền, Chuyển tiền...)",". Nếu GD có áp dụng KM: CS hướng dẫn KH thực hiện lại GD khác và không sử dụng khuyến mãi. 

. Nếu GD không áp dụng KM nhưng bị lỗi -343 >> CS chuyển SL check dev.",
-336,,,Vượt quá hạn mức giao dịch ,NH VPBank hạn mức tối đa 1 gd nạp tiền 2.000.000 . User  thực hiện trên 2 triệu nên không thanh toán được.,HD khách hàng thực hiện lại GD nạp tiền dưới 2 triệu,
-333, RMS_LOCK_PROMOTION_ABUSE,Giao dịch tạm thời bị giới hạn. Bạn vui lòng thực hiện lại sau hoặc thử lại giao dịch mà không dùng khuyến mãi., Giao dịch tạm thời bị giới hạn. Quý khách vui lòng thực hiện lại sau hoặc thử lại giao dịch mà không dùng khuyến mãi. ,"ZaloPay đánh giá user có dấu hiệu gian lận khuyến mãi , tài khoản KH thuộc Blacklist/Greylist","Qua kiểm tra, tài khoản của bạn không thỏa điều kiện chương trình được ghi nhận tự động bởi hệ thống của Zalopay. Việc này dùng để tránh các trường hợp gian lận hoặc đầu cơ quà khuyến mãi, và giúp Zalopay có thể cung cấp nhiều chương trình hơn nữa phù hợp cho người dùng.

Với trường hợp này, Zalopay rất tiếc bạn không thể tham gia được chương trình ""................""","Riêng trường hợp KH thuộc MALICIOUS ABUSER đổi xu thành công từ chương trình ""1279-Nhập môn tích xu"" nhưng không sử dụng được Voucher :Team xem hướng xử lý tại TNC chương trình"
,,Mã khách hàng/Mã hóa đơn/Số điện thoại được thanh toán/được nạp vượt hạn mức hưởng ưu đãi từ chương trình khuyến mãi.,Mã khách hàng/Mã hóa đơn/Số điện thoại đang bị giới hạn. Quý khách vui lòng thực hiện lại giao dịch khác không dùng khuyến mãi. ,"Mã khách hàng/Mã hóa đơn/Số điện thoại đã từng được thanh toán và hưởng KM trên hệ thống Zalopay (ở TKZP của KH hoặc trên TKZP khác)

Lưu ý:  nếu CS check TNC KH thỏa điều kiện thì vẫn chuyển SL để kiểm tra nguyên nhân chính xác cho KH nhé","Hướng dẫn KH:
1. Thực hiện lại giao dịch khác không dùng khuyến mãi. 
2. Sử dụng khuyến mãi/voucher khác cho giao dịch.
3. KH có thể áp dụng khuyến mãi/voucher này cho Mã khách hàng/Mã hóa đơn/Số điện thoại chưa từng hưởng khuyến mãi tại Zalopay",
